Word,Definition
posteromedially,describes a direction that is toward the back (posterior) and towards the middle (medial) of the body or a body part
anterolaterally,"refers to the front and side of something, indicates a position or movement that is both anterior (towards the front) and lateral (towards the side). "
pubescent,covered with hair
apubescent,hairless
ferruginous,fox-red
fuscous,"dark and somber in color, a cool-gray"
ochraceous,yellowish
hyaline,"having a glassy, translucent appearance"
distal,situated away from the center of the body OR from the point of attachment
apical,the tip of a rounded or pyramid-shaped structure
impunctate,lacking pores or impressed punctate markings
punctate,"studded with or denoting dots or tiny holes, having the appearance of pores"
reticulotrans­versely,"reticular: characterized by a fine network or netlike structure, transverse: extended across something"
piceous,"glossy, brownish-black in color"
appressed,pressed close to something else
subappressed,imperfectly or partially appressed
plumose,having many fine filaments or branches which give a feathery appearance
shagreening,"the texture has granulation; not smoothed; used to describe the skin of sharks, think shark skin ;)"
